,MG1655,metG*,∆priA,metG*-∆priA,MG1655,metG*,∆priA,metG*-∆priA
17.33333333,-0.00250313,0.07278567,0.01242252,-0.030974804,-0.032006796,0.051168287,0.022250609,0.006478966
17.5,-0.003506139,0.07278567,0.010445258,-0.020713042,-0.033039854,0.050217716,0.021272135,-0.013591954
17.66666667,-0.00250313,0.074643543,0.011434378,-0.02891401,-0.035109177,0.055907632,0.022250609,0.013409687
17.83333333,-0.003506139,0.074643543,0.011434378,-0.032006796,-0.037182791,0.052117954,0.022250609,0.011434378
18,-0.00250313,0.076497971,0.011434378,-0.02891401,-0.037182791,0.054961558,0.022250609,-0.010555514
18.16666667,-0.00250313,0.077423897,0.011434378,-0.038221213,-0.039260714,0.060624622,0.022250609,-0.003506139
18.33333333,-0.00250313,0.077423897,0.01242252,-0.029943876,-0.041342964,0.054014588,0.022250609,0.013409687
18.5,-0.00250313,0.077423897,0.011434378,-0.035109177,-0.042385716,0.058740495,0.022250609,0.003493889
18.66666667,-0.00250313,0.077423897,0.01242252,-0.027885203,-0.04447449,0.056852812,0.022250609,-0.004510155
18.83333333,-0.00250313,0.079273181,0.011434378,-0.026857454,-0.045520515,0.056852812,0.023228126,-0.001501126
19,-0.004510155,0.079273181,0.010445258,-0.026857454,-0.047615854,0.051168287,0.023228126,0.003493889
19.16666667,-0.003506139,0.080196542,0.010445258,-0.039260714,-0.050767117,0.053066721,0.022250609,-0.00250313
19.33333333,-0.00250313,0.081119051,0.010445258,-0.046567636,-0.051819749,0.054961558,0.022250609,-0.003506139
19.5,-0.003506139,0.08204071,0.011434378,-0.033039854,-0.053928342,0.053066721,0.023228126,-0.022756987
19.66666667,-0.004510155,0.083881484,0.011434378,-0.040301297,-0.056041391,0.052117954,0.022250609,-0.011566636
19.83333333,-0.004510155,0.083881484,0.011434378,-0.03407398,-0.057099592,0.052117954,0.022250609,-0.008536331
20,-0.003506139,0.085718875,0.011434378,-0.041342964,-0.05921936,0.054014588,0.022250609,-0.009545413
20.16666667,-0.005515181,0.085718875,0.011434378,-0.04447449,-0.06240746,0.051168287,0.023228126,-0.007528266
20.33333333,-0.005515181,0.086636307,0.010445258,-0.039260714,-0.064538521,0.050217716,0.022250609,-0.003506139
20.5,-0.005515181,0.086636307,0.010445258,-0.049715592,-0.066674133,0.053066721,0.022250609,-0.006521217
20.66666667,-0.005515181,0.086636307,0.010445258,-0.04447449,-0.068814316,0.051168287,0.022250609,-0.011566636
20.83333333,-0.006521217,0.089383561,0.010445258,-0.050767117,-0.072033203,0.053066721,0.023228126,-0.009545413
21,-0.006521217,0.090297638,0.010445258,-0.058158914,-0.074184898,0.051168287,0.023228126,-0.020713042
21.16666667,-0.005515181,0.090297638,0.010445258,-0.048665172,-0.077421147,0.051168287,0.024204689,-0.001501126
21.33333333,-0.006521217,0.089383561,0.010445258,-0.06134363,-0.080667903,0.050217716,0.023228126,-0.02583076
21.5,-0.006521217,0.090297638,0.010445258,-0.056041391,-0.082838278,0.051168287,0.023228126,-0.013591954
21.66666667,-0.007528266,0.09121088,0.010445258,-0.05287349,-0.086102699,0.050217716,0.023228126,-0.013591954
21.83333333,-0.008536331,0.093034866,0.009455159,-0.050767117,-0.088284915,0.049266241,0.023228126,-0.016637641
22,-0.007528266,0.093034866,0.011434378,-0.06134363,-0.092663685,0.050217716,0.023228126,-0.036145447
22.16666667,-0.007528266,0.092123289,0.010445258,-0.03407398,-0.092663685,0.051168287,0.023228126,-0.026857454
22.33333333,-0.008536331,0.093945613,0.011434378,-0.056041391,-0.098164249,0.051168287,0.023228126,-0.016637641
22.5,-0.008536331,0.093945613,0.009455159,-0.057099592,-0.100372974,0.049266241,0.023228126,-0.027885203
22.66666667,-0.008536331,0.093945613,0.009455159,-0.047615854,-0.101479169,0.049266241,0.024204689,-0.036145447
22.83333333,-0.008536331,0.095764622,0.009455159,-0.058158914,-0.105916226,0.050217716,0.024204689,-0.02583076
23,-0.010555514,0.094855531,0.009455159,-0.06134363,-0.110373057,0.04831386,0.023228126,-0.026857454
23.16666667,-0.008536331,0.096672887,0.010445258,-0.054984308,-0.113728765,0.049266241,0.025180299,-0.02891401
23.33333333,-0.008536331,0.096672887,0.009455159,-0.048665172,-0.115972176,0.049266241,0.024204689,-0.015621381
23.5,-0.010555514,0.096672887,0.009455159,-0.072033203,-0.120474153,0.049266241,0.024204689,-0.017654935
23.66666667,-0.009545413,0.097580328,0.009455159,-0.040301297,-0.123863987,0.04831386,0.024204689,-0.035109177
23.83333333,-0.009545413,0.097580328,0.010445258,-0.064538521,-0.127265351,0.049266241,0.025180299,-0.030974804
24,-0.010555514,0.098486947,0.009455159,-0.072033203,-0.131818575,0.049266241,0.025180299,-0.018673265
24.16666667,-0.011566636,0.099392744,0.009455159,-0.047615854,-0.136392625,0.04831386,0.025180299,-0.04447449
